,Airline,Source,Destination,Additional_Info,Price,dur_min,stops,journey_day,dep_time
0,IndiGo,Banglore,New Delhi,No Info,3897.0,170.0,0,6,222000
1,Air India,Kolkata,Banglore,No Info,7662.0,445.0,2,5,55000
2,Jet Airways,Delhi,Cochin,No Info,13882.0,1140.0,2,4,92500
3,IndiGo,Kolkata,Banglore,No Info,6218.0,325.0,1,3,180500
4,IndiGo,Banglore,New Delhi,No Info,6494.0,285.0,1,3,165000
5,SpiceJet,Kolkata,Banglore,No Info,3873.0,145.0,0,0,90000
6,Jet Airways,Banglore,New Delhi,In-flight meal not included,11087.0,930.0,1,1,185500
7,Jet Airways,Banglore,New Delhi,No Info,14151.0,1265.0,1,3,80000
8,Jet Airways,Banglore,New Delhi,In-flight meal not included,11087.0,1530.0,1,1,85500
9,Multiple carriers,Delhi,Cochin,No Info,8625.0,470.0,1,0,112500
10,Air India,Delhi,Cochin,No Info,8907.0,795.0,1,6,94500
11,IndiGo,Kolkata,Banglore,No Info,4174.0,155.0,0,3,202000
12,Air India,Chennai,Kolkata,No Info,4667.0,135.0,0,0,114000
13,Jet Airways,Kolkata,Banglore,In-flight meal not included,9663.0,730.0,1,3,211000
14,IndiGo,Kolkata,Banglore,No Info,4804.0,155.0,0,2,171500
15,Air India,Delhi,Cochin,No Info,14011.0,1595.0,2,6,164000
16,SpiceJet,Delhi,Cochin,No Info,4760.0,270.0,1,0,84500
17,Jet Airways,Delhi,Cochin,In-flight meal not included,10262.0,1355.0,1,4,140000
18,Air India,Delhi,Cochin,No Info,13381.0,1380.0,2,4,201500
19,Jet Airways,Delhi,Cochin,In-flight meal not included,12898.0,1235.0,1,0,160000
20,GoAir,Delhi,Cochin,No Info,6811.25,310.0,1,0,141000
21,Air India,Banglore,New Delhi,No Info,6955.0,920.0,1,3,220000
22,IndiGo,Banglore,Delhi,No Info,3943.0,170.0,0,0,40000
23,IndiGo,Banglore,Delhi,No Info,4823.0,175.0,0,5,185500
24,Jet Airways,Kolkata,Banglore,In-flight meal not included,7757.0,800.0,1,2,185500
25,Jet Airways,Delhi,Cochin,No Info,13292.0,910.0,2,4,212500
26,IndiGo,Delhi,Cochin,No Info,6494.0,345.0,1,6,215000
27,GoAir,Delhi,Cochin,No Info,7682.0,355.0,1,2,70000
28,Vistara,Banglore,Delhi,No Info,4668.0,170.0,0,1,94500
29,Vistara,Chennai,Kolkata,No Info,3687.0,135.0,0,5,70500
30,Vistara,Chennai,Kolkata,No Info,3687.0,135.0,0,1,70500
31,Air India,Kolkata,Banglore,No Info,13227.0,805.0,2,5,95000
32,IndiGo,Banglore,Delhi,No Info,4423.0,170.0,0,1,40000
33,Jet Airways,Delhi,Cochin,In-flight meal not included,10919.0,1320.0,2,5,143500
34,Jet Airways,Delhi,Cochin,In-flight meal not included,12373.0,330.0,1,5,70500
35,IndiGo,Delhi,Cochin,No Info,5894.0,625.0,1,3,103500
36,SpiceJet,Kolkata,Banglore,No Info,4649.0,315.0,1,1,150500
37,Air India,Kolkata,Banglore,No Info,6245.0,150.0,0,5,141500
38,Jet Airways,Banglore,New Delhi,No Info,14151.0,375.0,1,0,70000
39,Jet Airways,Delhi,Cochin,No Info,14924.0,715.0,1,2,70500
40,Multiple carriers,Delhi,Cochin,No Info,9646.0,665.0,1,1,70500
41,Air India,Banglore,New Delhi,No Info,8714.0,510.0,1,4,64500
42,Jet Airways,Delhi,Cochin,In-flight meal not included,12373.0,1325.0,1,5,205500
43,Air Asia,Banglore,Delhi,No Info,3383.0,165.0,0,2,111000
44,Multiple carriers,Delhi,Cochin,No Info,13062.0,720.0,1,3,90000
45,SpiceJet,Banglore,New Delhi,No check-in baggage included,3527.0,170.0,0,6,54500
46,IndiGo,Banglore,Delhi,No Info,3943.0,170.0,0,0,40000
47,Air India,Chennai,Kolkata,No Info,4667.0,135.0,0,1,114000
48,Air India,Kolkata,Banglore,No Info,6117.0,965.0,1,2,190000
49,Jet Airways,Delhi,Cochin,In-flight meal not included,11150.0,1195.0,2,3,230500
50,Jet Airways,Delhi,Cochin,In-flight meal not included,7202.0,195.0,0,1,110000
51,Jet Airways,Kolkata,Banglore,No Info,12121.0,1520.0,1,5,93500
52,IndiGo,Banglore,New Delhi,No Info,4377.0,170.0,0,6,222000
53,IndiGo,Banglore,Delhi,No Info,3943.0,180.0,0,1,211500
54,Air Asia,Banglore,Delhi,No Info,4483.0,170.0,0,0,235500
55,Jet Airways,Kolkata,Banglore,No Info,14231.0,975.0,1,6,194500
56,Air India,Banglore,New Delhi,No Info,12219.0,905.0,2,3,85000
57,Vistara,Chennai,Kolkata,No Info,7414.0,135.0,0,0,70500
58,Multiple carriers,Delhi,Cochin,No Info,8073.0,390.0,1,2,190000
59,Vistara,Mumbai,Hyderabad,No Info,9345.0,1505.0,1,0,154000
60,Air India,Kolkata,Banglore,No Info,8366.0,745.0,1,3,92500
61,Air India,Delhi,Cochin,No Info,5117.0,1640.0,1,0,60500
62,Multiple carriers,Delhi,Cochin,No Info,12524.0,615.0,1,2,84500
63,IndiGo,Delhi,Cochin,No Info,7191.0,630.0,1,2,150000
64,Vistara,Chennai,Kolkata,No Info,3687.0,135.0,0,4,70500
65,IndiGo,Delhi,Cochin,No Info,5894.0,625.0,1,0,103500
66,Vistara,Banglore,Delhi,No Info,5403.0,170.0,0,2,94500
67,Air India,Mumbai,Hyderabad,No Info,3625.0,90.0,0,2,135500
68,Air India,Delhi,Cochin,No Info,10861.0,800.0,2,1,55500
69,IndiGo,Chennai,Kolkata,No Info,6297.0,135.0,0,1,132000
70,Jet Airways,Mumbai,Hyderabad,No Info,5678.0,85.0,0,6,70500
71,Jet Airways,Banglore,New Delhi,In-flight meal not included,9134.0,1590.0,1,1,54500
72,Multiple carriers,Delhi,Cochin,In-flight meal not included,10791.0,440.0,1,0,114000
73,Jet Airways,Delhi,Cochin,No Info,12819.0,1390.0,2,0,230500
74,IndiGo,Delhi,Cochin,No Info,6893.0,300.0,1,3,50500
75,Vistara,Banglore,New Delhi,No Info,7240.0,165.0,0,1,95000
76,GoAir,Banglore,Delhi,No Info,3898.0,170.0,0,0,114000
77,IndiGo,Mumbai,Hyderabad,No Info,4049.0,90.0,0,0,62500
78,Jet Airways,Delhi,Cochin,In-flight meal not included,10262.0,1145.0,1,5,173000
79,SpiceJet,Chennai,Kolkata,No check-in baggage included,3332.0,135.0,0,3,82000
80,Jet Airways,Kolkata,Banglore,In-flight meal not included,10844.0,890.0,1,4,211000
81,Jet Airways,Banglore,New Delhi,No Info,7229.0,160.0,0,6,195500
82,Jet Airways,Kolkata,Banglore,No Info,13941.0,1330.0,1,2,63000
83,IndiGo,Delhi,Cochin,No Info,5894.0,575.0,1,3,112500
84,Multiple carriers,Delhi,Cochin,No Info,10197.0,600.0,1,5,90000
85,Jet Airways,Banglore,New Delhi,In-flight meal not included,13712.0,1280.0,1,0,140500
86,IndiGo,Delhi,Cochin,No Info,5636.0,325.0,1,0,20000
87,Jet Airways,Delhi,Cochin,No Info,13014.0,1125.0,2,3,94000
88,Jet Airways,Kolkata,Banglore,In-flight meal not included,7064.0,740.0,1,4,82500
89,Jet Airways,Kolkata,Banglore,In-flight meal not included,10703.0,1080.0,1,4,202500
90,Multiple carriers,Delhi,Cochin,No Info,9646.0,555.0,1,0,131500
91,Multiple carriers,Delhi,Cochin,No Info,13587.0,665.0,1,0,21500
92,Jet Airways,Banglore,New Delhi,No Info,13817.0,1050.0,1,1,165500
93,Air India,Delhi,Cochin,No Info,13748.0,800.0,2,0,55500
94,Air India,Kolkata,Banglore,No Info,4880.0,155.0,0,6,204500
